Entity,Code,Year,Global food loss index - Total or no breakdown
Sub-Saharan Africa (UN SDG),,2018,102.01
Sub-Saharan Africa (UN SDG),,2019,103.44
Sub-Saharan Africa (UN SDG),,2020,103.63
Sub-Saharan Africa (UN SDG),,2021,103.65
Sub-Saharan Africa (UN SDG),,2022,103.63
Sub-Saharan Africa (UN SDG),,2023,103.64
World,OWID_WRL,2015,100
World,OWID_WRL,2016,98.32
World,OWID_WRL,2017,98.36
World,OWID_WRL,2018,100.65
World,OWID_WRL,2019,102.01
World,OWID_WRL,2020,101.98
World,OWID_WRL,2021,102
World,OWID_WRL,2022,101.98
World,OWID_WRL,2023,101.99
